UID,LAST_NAME,FIRST_NAME,ALIASES,ALTERNATIVE_SPELLING
1561968,JI SONG 8,,ASIAN HOPE;Ji Song 8;KAL MA;NEW RICH;SHIKISHIMA MARU NO.1;SHIKISHIMA NO.17;YEDAR,
1562387,AL-ADNANI,Abu Mohammed,"ABOU KHATTAB;ABOU MOHAMED AL ADNANI;ABOU SADEQ ALRAWI;ABU MOHAMMED AL-BENSHI;ABU MOHAMMED ALBENSHI;AL 'ADNANI,Abu Muhammad;AL ADNANI Abou Mohamed;AL ADNANI,ABOU MOHAMED;AL ADNANI,Abou Mohamed;AL ADNANI,Abou Muhamed;AL ADNANI,Abu Mohammad;AL ADNANI,Abu Muhammad;AL BINCHI,Tah;AL SHAMI,Abu Muhammad Al Adnani;AL-'ADNANI,Abu Muhammad;AL-ADNANI,Abu Mohamed;AL-ADNANI,Abu Mohammad;AL-ADNANI,Abu Mohammed;AL-ADNANI,Abu Muhamad;AL-ADNANI,Abu Muhammad;AL-BANSHI,Abu Mohammed Al-Adani Taha;AL-BANSHI,Taha;AL-KHATAB,Abu Baker;AL-KHATTAB,Abu;AL-RAWI,Abu Sadek;AL-RAWI,Abu Sadeq;AL-RAWI,Yasser Khalaf Hussein Nazal;AL-SHAMI,Abu Muhammad Al Adnani;AL-SHAMI,Abu-Mohammad Al-Adnani;AL-SHAMI,Abu-Mohammad al-Adnani;AL-SHAMI,Abu-Muhammad al-Adnani;AL-SHAMI,Mohammed Adnani;ALRAWI,Abou Sadeq;ALRAWI,Yaser Khalaf Nazzal;AS-SHAMI,Abu Muhammad al-'Adnani;ASH-SHAMI,Abu Muhammad al-Adnani;Abou Khattab;Abou Mohamed AL ADNANI;Abou Mohamed Al Adnani;Abou Mohamed al Adnani;Abou Sadeq Alrawi;Abou khattab;Abu Baker al-Khatab;Abu Mohamed al-Adnani;Abu Mohammed al-Adnani;Abu Muhammad al-Adnani ash-Shami;Abu Sadek al-Rawi;Abu-Mohammad al-Adnani al-Shami;Al Adnani,Abou Mohamed;Alrawi,Abou Sadeq;Alrawi,Yaser Khalaf Nazzal;FALAH,Jaber Taha;FALAH,Jabr Taha;FALAHA,Taha Saobhi;FALAHA,Taha Sobhi;FALAHA,Taha Sohbi;FALAHA,Taha Subhi;Falah,Jaber Taha;Falaha,Taha Sobhi;Hajj Ibrahim;IBRAHIM,Hajj;Ibrahim,Hajj;JABER TAHA FALAH;Jaber Taha Falah;KHATTAB,Abou;Khattab,Abou;TAH AL BINCHI;Tah al Binchi;Tah alBinchi;Taha Sobhi Falaha;Taha al-Banshi;YASER KHALAF ALRAWI;Yaser Khalaf Nazzal Alrawi;Yasser Khalaf Hussein Nazal al-Rawi;al Adnani,Abou Mohamed;al Binchi,Tah;al-Adnani,Abu Mohamed;al-Adnani,Abu Mohammed;al-Banshi,Taha;al-Khatab,Abu Baker;al-Rawi,Abu Sadek;al-Rawi,Yasser Khalaf Hussein Nazal;al-Shami,Abu-Mohammad al-Adnani",
1562429,KHORS AIRCOMPANY,,"AVIAKOMPANIYA KHORS, TOV;KHORS AIR;KHORS AIR COMPANY;TOVARYSTVO Z OBMEZHENOYU VIDPOVIDALNISTYU 'AVIAKOMPANIYA 'KHORS'",
1562491,UKRAINIAN-MEDITERRANEAN AIRLINES,,UKRAINE MEDITERRANEAN AIRLINES;UKRAINSKE-TSCHERMOMORSKIE AVIALINII;UM AIR;UM AIRLINES;UM Air;UM Airlines;Ukraine Mediterranean Airlines,
1562550,CHAM WINGS AIRLINES,,AJNEHAT AL SHAM;AL-SHAM WINGS;CHAM WINGS;Cham Wings Airlines;SHAM WING AIRLINES,
1562603,CHAU,Phirun,"CHAO,Phirun;CHAU,Phirun;Chau Phirun",
1563830,NAM SAN 8,,KOAN MARU;MUNAKATA;MUNAKATA MARU NO.5;NAMSAN8;Nam San 8;ZU ZAG BONG 6,
1566410,FINIKIA,,,
1567507,"GAZPROM TSENTRREMONT, OOO",,"GAZPROM TSENTRREMONT;GAZPROM TSENTRREMONT LLC;Gazprom Tsentrremont;Gazprom Tsentrremont, OOO;LIMITED LIABILITY COMPANY GAZPROM TSENTRREMONT;LLC GAZPROM TSENTRREMONT;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTIU GAZPROM TSENTRREMONT;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TSENTRREMONT';OOO GAZPROM TSENTRREMONT;Obshchestvo S Ogranichennoi Otvetstvennostyu 'Gazprom Tsentrremont'",
1568068,LIMON SANCHEZ,Ovidio,"LIMON-SANCHEZ,Ovidio;LIMÓN SÁNCHEZ,Ovidio;Ovidio Limon Sanchez",
1568135,DURGHAM,Dureid,"DERGHAM,Douraid;DERGHAM,Douraid Ahmad;DERGHAM,Doureid Ahmad;DERGHAM,Doureid Ahmed;DERGHAM,Duraid;DERGHAM,Dureid;DURGHAM DURAID;DURGHAM Duraid;DURGHAM,DURAID;DURGHAM,Douraid;DURGHAM,Duraid;Duraid DURGHAM;Duraid Durgham;Durgham Duraid",
1568311,RENOVA GROUP,,AKTSIONERNOYE OBSHCHESTVO GRUPPA KOMPANIY RENOVA;AO GRUPPA KOMPANIY RENOVA;JOINT-STOCK COMPANY RENOVA GROUP OF COMPANIES;JSC RENOVA GROUP OF COMPANIES;RENOVA HOLDING;RENOVA HOLDINGS;Renova Group,
1568331,SHIHADAH,Rafiq,"Brigaadikindral Rafiq SHAHADAH;Brigaadikindral Rafiq Shahadah;Brigade-generaal Rafiq SHAHADAH;Brigadegeneraal Rafiq Shahadah;Brigadegeneral Rafiq Shahadah;Brigadeiro-General Rafiq SHAHADAH;Brigadeiro-general Rafiq Shahadah;Brigadgeneral Rafiq SHAHADAH;Brigadgeneral Rafiq Shahadah;Brigadier generale Rafiq SHAHADAH;Brigadier-General Rafeeq Chahada;Brigadier-General Rafeeq Chahade;Brigadier-General Rafeeq Chahadeh;Brigadier-General Rafeeq Shahada;Brigadier-General Rafeeq Shahadah;Brigadier-General Rafeeq Shahade;Brigadier-General Rafeeq Shahadeh;Brigadier-General Rafiq Chahada;Brigadier-General Rafiq Chahade;Brigadier-General Rafiq Chahadeh;Brigadier-General Rafiq SHAHADAH;Brigadier-General Rafiq Shahada;Brigadier-General Rafiq Shahadah;Brigadier-General Rafiq Shahade;Brigadier-General Rafiq Shahadeh;Brigadni general Rafiq SHAHADAH;Brigadni general Rafiq Shahadah;Brigados generolas Rafiq SHAHADAH;Brigados generolas Rafiq Shahadah;Brigádny generál Rafiq SHAHADAH;Brigádny generál Rafiq Shahadah;Brigádní generál Rafiq SHAHADAH;Brigádní generál Rafiq Shahadah;CHAHADA,Rafeeq;CHAHADA,Rafiq;CHAHADE,Rafeeq;CHAHADE,Rafiq;CHAHADEH,Rafeeq;CHAHADEH,Rafiq;Chahada,Rafeeq;Chahada,Rafiq;Chahade,Rafeeq;Chahade,Rafiq;Chahadeh,Rafeeq;Chahadeh,Rafiq;General de brigada Rafiq Shahadah;Generale di brigata Rafiq Shahadah;Général de brigade Rafeeq Chahada;Général de brigade Rafeeq Chahade;Général de brigade Rafeeq Chahadeh;Général de brigade Rafeeq Shahada;Général de brigade Rafeeq Shahadah;Général de brigade Rafeeq Shahade;Général de brigade Rafeeq Shahadeh;Général de brigade Rafiq Chahada;Général de brigade Rafiq Chahade;Général de brigade Rafiq Chahadeh;Général de brigade Rafiq Shahada;Général de brigade Rafiq Shahadah;Général de brigade Rafiq Shahade;Général de brigade Rafiq Shahadeh;Major General Rafeeq Chahada;Major General Rafeeq Chahade;Major General Rafeeq Chahadeh;Major General Rafeeq Shahada;Major General Rafeeq Shahadah;Major General Rafeeq Shahade;Major General Rafeeq Shahadeh;Major General Rafiq Chahada;Major General Rafiq Chahade;Major General Rafiq Chahadeh;Major General Rafiq SHAHADAH;Major General Rafiq Shahada;Major General Rafiq Shahadah;Major General Rafiq Shahade;Major General Rafiq Shahadeh;Prikaatikenraali Rafiq Shahadah;Prikaatinkenraali Rafiq SHAHADAH;Prikaatinkenraali Rafiq Shahadah;Rafeeq;Rafeeq CHAHADA;Rafeeq CHAHADE;Rafeeq CHAHADEH;Rafeeq Chahada;Rafeeq Chahade;Rafeeq Chahadeh;Rafeeq SHAHADA;Rafeeq SHAHADAH;Rafeeq SHAHADE;Rafeeq SHAHADEH;Rafeeq Shahada;Rafeeq Shahadah;Rafeeq Shahade;Rafeeq Shahadeh;Rafik SHEHADEH;Rafiq CHAHADA;Rafiq CHAHADE;Rafiq CHAHADEH;Rafiq Chahada;Rafiq Chahade;Rafiq Chahadeh;Rafiq SHAHADA;Rafiq SHAHADAH;Rafiq SHAHADAH dandártábornok;Rafiq SHAHADE;Rafiq SHAHADEH;Rafiq SHIHADA;Rafiq SHIHADAH;Rafiq Shahada;Rafiq Shahadah;Rafiq Shahadah dandártábornok;Rafiq Shahade;Rafiq Shahadeh;Rafiq Shihadah;SHAHADA,Rafeeq;SHAHADA,Rafiq;SHAHADAH RAFIQ;SHAHADAH Rafiq;SHAHADAH,RAFIQ;SHAHADAH,Rafeeq;SHAHADAH,Rafiq;SHAHADE,Rafeeq;SHAHADE,Rafiq;SHAHADEH,Rafeeq;SHAHADEH,Rafiq;SHEHADEH,Rafik;SHIHADA,Rafiq;SHIHADAH,Rafiq;SHIHADAH,Wafiq;SHIHADEH,Rafiq Mahmoud;SHSHADAH,Rafeeq;SHSHADAH,Rafiq;Shahada,Rafeeq;Shahada,Rafiq;Shahadah,Rafeeq;Shahadah,Rafiq;Shahade Shahadeh;Shahade,Rafeeq;Shahade,Rafiq;Shahadeh,Rafeeq;Shahadeh,Rafiq;Shihadah,Rafiq;Wafiq SHIHADAH;brigádny generál Rafiq Shahadah",
1568394,JABER,Mohammad,"Abu JA'FAR;Abu Ja Far;Abu Ja'far;JA FAR,Abu;JA'FAR,Abu;JABER,Mohamed;JABER,Mohammad;JABER,Mohammed;JABER,Muhammad;JABIR Mohammed;JABIR,MOHAMMED;JABIR,Mohamed;JABIR,Mohammad;JABIR,Mohammed;JABIR,Muhammad;JABIR,Muhammad Mahruz;JABIR,Muhammad Muhraz;JABIR,Muhammad Muhriz;Jaber,Mohammed;Jabir,Mohamed;Jabir,Mohammad;Jabir,Mohammed;Jabir,Muhammad;Mohamed JABER;Mohamed JABIR;Mohamed Jaber;Mohamed Jabir;Mohammad JABER;Mohammad JABIR;Mohammad Jaber;Mohammad Jabir;Mohammed JABER;Mohammed JABIR;Mohammed Jaber;Mohammed Jabir;Muhammad JABER;Muhammad JABIR;Muhammad Jaber;Muhammad Jabir;Muhammad Mahruz JABIR;Muhammad Mahruz Jabir;Muhammad Muhraz JABIR;Muhammad Muhraz Jabir;Muhammad Muhriz JABIR;Muhammad Muhriz Jabir",
1568444,ADANOV,Munir,"ADANOF,MUNIR;ADANOF,Moneer;ADANOF,Monir;ADANOF,Mouneer;ADANOF,Mounir;ADANOF,Muneer;ADANOF,Munir;ADANOV Munir;ADANOV,MUNIR;ADANOV,Moneer;ADANOV,Monir;ADANOV,Mouneer;ADANOV,Mounir;ADANOV,Muneer;ADANOV,Munir;ADNUF,Lieutenant-General Munir;ADNUF,MUNIR;ADNUF,Moneer;ADNUF,Monir;ADNUF,Mouneer;ADNUF,Mounir;ADNUF,Muneer;ADNUF,Munir;Adanof;Adanof,Munir;Adanov Munir;Adanov,Moneer;Adanov,Monir;Adanov,Mouneer;Adanov,Mounir;Adanov,Muneer;Adanov,Munir;Adnuf;Adnuf,Munir;Generallöjtnant Munir Adanov;Generalløjtnant Munir ADANOV;Generalløjtnant Munir ADNUF;Generalløjtnant Munir Adanov;Generalpolkovnik Munir Adanov;Generolas leitenantas Munir Adanov;Kenraaliluutnantti Munir Adanov;Kindralleitnant Munir Adanov;Lieutenant général Munir Adanov;Lieutenant-General Moneer Adanof;Lieutenant-General Moneer Adanov;Lieutenant-General Moneer Adnuf;Lieutenant-General Monir Adanof;Lieutenant-General Monir Adanov;Lieutenant-General Monir Adnuf;Lieutenant-General Mouneer Adanof;Lieutenant-General Mouneer Adanov;Lieutenant-General Mouneer Adnuf;Lieutenant-General Mounir Adanof;Lieutenant-General Mounir Adanov;Lieutenant-General Mounir Adnuf;Lieutenant-General Muneer Adanof;Lieutenant-General Muneer Adanov;Lieutenant-General Muneer Adnuf;Lieutenant-General Munir ADANOV;Lieutenant-General Munir ADNUF;Lieutenant-General Munir Adanof;Lieutenant-General Munir Adanov;Lieutenant-General Munir Adanov (Adnuf);Lieutenant-General Munir Adnuf;Locotenent-general Munir Adanov;Luitenant-Generaal Munir Adanov;MUNIR Adanov;MUNIR,Adanov;Moneer ADANOF;Moneer ADANOV;Moneer ADNUF;Moneer Adanof;Moneer Adanov;Moneer Adnuf;Monir ADANOF;Monir ADANOV;Monir ADNUF;Monir Adanof;Monir Adanov;Monir Adnuf;Mouneer ADANOF;Mouneer ADANOV;Mouneer ADNUF;Mouneer Adanof;Mouneer Adanov;Mouneer Adnuf;Mounir ADANOF;Mounir ADANOV;Mounir ADNUF;Mounir Adanof;Mounir Adanov;Mounir Adnuf;Muneer ADANOF;Muneer ADANOV;Muneer ADNUF;Muneer Adanof;Muneer Adanov;Muneer Adnuf;Munir ADANOF;Munir ADANOV;Munir ADNUF;Munir Adanof;Munir Adanov;Munir Adanov (Adnuf);Munir Adanov altábornagy;Munir Adnuf;Tenente-general Munir Adanov;Teniente general Munir Adanov;Teniente general Munir Adnuf",
1569384,MAWAFI,Ramzi,"AL MOWAFI,Ramzi Mahmoud;MAWAFI,Ramzi;MOWAFI,Ramzi;MOWAFI,Ramzy;MUWAFI,Ramzi",
1570414,SIRJANCO TRADING LLC,,SIRJANCO TRADING;SIRJANCO TRADING L.L.C.,
1571214,KACHANAVA,Natallia Ivanauna,"KACHANAVA Natallia Ivanauna;KACHANAVA,NATALLIA IVANAUNA;KACHANAVA,Natalia Ivanovna;KACHANAVA,Natallia Ivanauna;KOCHANOVA,Natalia Ivanovna;KOCHANOVA,Natallia Ivanauna;KOCHANOVA,Natalya;KOCHANOVA,Natalya Ivanovna;Kachanava Natallia Ivanauna;Kachanava,Natalia Ivanovna;Kachanava,Natallia Ivanauna;Kochanova Natalia Ivanovna;Natalia Ivanovna KOCHANO VA;Natalia Ivanovna KOCHANOVA;Natalia KOCHANOVA;Natalja Ivanovna KOTJANOVA;Natallia Ivanauna KACHANAVA;Natallia Ivanauna Kachanava;Natallja Ivanauna KATJANAVA",
1571907,MALOFEYEV,Konstantin,"Konstantin MALOFEYEV;Konstantin Malofeyev;Konstantin Valerevich MALOFEEV;Konstantin Valerevich Malofeev;Konstantin Valerevitj MALOFEJEV;Konstantin Valerievich MALOFEEV;Konstantin Valerievici MALOFEEV;Konstantin Valerjevitj MALOFEJEV;MALOFEEV KONSTANTIN VALEREVICH;MALOFEEV Konstantin Valerevich;MALOFEEV,KONSTANTIN VALEREVICH;MALOFEEV,Konstantin;MALOFEEV,Konstantin Valerevich;MALOFEEV,Konstantin Valerievich;MALOFEYEV,Constantin;MALOFEYEV,Konstantin;MALOFEYEV,Konstantin Valeryevich;Malofeev Konstantin Valerevich;Malofeev Valerevich Konstantin;Malofeev,Konstantin Valerevich",
1572429,SYRIAN GENERAL AUTHORITY FOR MARITIME TRANSPORT,,SYRIAMAR;SYRIAN GENERAL ESTABLISHMENT FOR MARINE TRANSPORT;SYRIAN GENERAL ESTABLISHMENT FOR MARITIME TRANSPORT;SYRIAN GENERAL ORGANIZATION FOR MARITIME TRANSPORT,
1572430,EVROFINANCE MOSNARBANK,,"AKTSIONERNOE OBSHCHESTVO EVROFINANS MOSNARBANK;AKTSIONERNY KOMMERCHESKI BANK EVROFINANS MOSNARBANK;AO AKB EVROFINANS MOSNARBANK;BANCO BINACIONAL RUSO-VENEZOLANO;BANCO DE INVERSIONES RUSO-VENEZOLANO;CB MOSNARBANK;COMERCIAL EVROFINANS MOSNARBAK;EVROFINANCE BANK;EVROFINANS MOSNARBANK, AO;EVROFINANS MOSNARBANK, PAO;Evrofinance Mosnarbank;JOINT STOCK COMPANY EVROFINANCE MOSNARBANK;JSC EVROFINANCE MOSNARBANK;OAO AKB EVROFINANS MOSNARBANK;OJSC EVROFINANCE MOSNARBANK;OPEN JOINT STOCK COMPANY EVROFINANCE MOSNARBANK",
1573410,BPS-SBERBANK,,AAT SBER BANK;ADKRYTAYE AKTSYYANERNAYE TAVARYSTVA SBER BANK;BELPROMSTROIBANK;BELPROMSTROYBANK;BPS SBERBANK OJSC;BPS-BANK;BPS-SBERBANK;BPS-SBERBANK OAO;JSC BELPROMSTROIBANK;JSC BPS-BANK;JSC BPS-SBERBANK;OAO SBER BANK;OJSC BPS-SBERBANK;OJSC SBER BANK;OPEN JOINT STOCK COMPANY BPS-SBERBANK;OPEN JOINT STOCK COMPANY SBER BANK;OTKRYTOE AKTSIONERNOE OBSHCHESTVO BPS-SBERBANK;OTKRYTOE AKTSIONERNOE OBSHCHESTVO SBER BANK;OTKRYTOYE AKTSIONERNOYE OBSHCHESTVO BPS-SBERBANK;OTKRYTOYE AKTSIONERNOYE OBSHCHESTVO SBER BANK;Open Joint Stock Company BPS-Sberbank;SBER BANK,
1573528,BANK DABRABYT JOINT STOCK COMPANY,,AAT BANK MASKVA-MINSK;BANK DABRABYT;BANK DABRABYT JSC;BANK MOSCOW-MINSK JOINT STOCK COMPANY;BANK MOSCOW-MINSK JOINT-STOCK COMPANY;BANK MOSCOW-MINSK JSC;Bank Dabrabyt;Bank Dabrabyt Joint-Stock Company;FOREIGN BANK MOSKVA-MINSK;MOSCOW-MINSK FOREIGN BANK;OAO BANK DABRABYT;OAO BANK MOSKVA-MINSK;OJSC BANK DABRABYT,
1573857,NUR,Mohammed,"ALKALI,Mamman Nur;NUR,Alhaji;NUR,Maman;NUR,Mammam;NUR,Mamman;NUR,Mohammad;NUR,Mohammed;NURA,Mohammed;NURU,Mallam Ahmed",
1574175,BUSINESS LAB,,Business Lab,
1574838,VTB BANK BELARUS CLOSED JOINT STOCK COMPANY,,"CJSC SLAVNEFTEBANK;CJSC VTB BANK (BELARUS);CJSC VTB BANK BELARUS;VTB BANK (BELARUS);VTB BANK (BELARUS) CJSC;VTB BANK (BELARUS) CLOSED JOINT STOCK COMPANY;VTB BANK (BELARUS) CLOSED JOINT-STOCK COMPANY;VTB BANK (BELARUS), CJSC;VTB BANK BELARUS;VTB BANK BELARUS CJSC;VTB BANK BELARUS CLOSED JOINT STOCK COMPANY;VTB Bank Belarus Closed Joint Stock Company;ZAO BANK VTB (BELARUS)",
1574909,PJSC VTB BANK (KIEV),,"BANK VTB (UKRAINA);JOINT-STOCK COMPANY VTB BANK;JSC VTB BANK;MRIYA;PAT VTB BANK;PUBLIC JOINT-STOCK COMPANY VTB BANK;PUBLIC-JOINT STOCK COMPANY VTB BANK (UKRAINE);PUBLICHNE AKTSIONERNE TOVARYSTVO VTB BANK;VTB BANK (UKRAINE);VTB BANK PJSC;VTB BANK, PJSC;VTB BANK, PJSC (UKRAINE);VTB BANK, PUBLIC JOINT STOCK COMPANY",
1579579,SYRIAN MINISTRY OF PETROLEUM AND MINERAL RESOURCES,,MINISTRY OF OIL AND MINERAL RESERVES;MINISTRY OF PETROLEUM & MINERAL RESOURCES;MINISTRY OF PETROLEUM AND MINERAL RESOURCES;MOPMR;Syrian Ministry of Petroleum;Syrian Ministry of Petroleum and Mineral Resources,
1582162,KHURAN,,,
1582471,MUKIIBI,Moses,"MOSES MUKIIBI;MUKIIBI,Moses;Moses Mukiibi",
1583773,BELLOSO RODRIGUEZ,Daniel,"BELLOZO RODRIGUEZ,Daniel;Daniel Belloso Rodriguez",
1583774,BELLOSO RODRIGUEZ,Miguel Angel,"BELLOZO RODRIGUEZ,Miguel Angel;Miguel Angel Belloso Rodriguez",
1583776,GALAVIZ MARTIN,Mayra,Mayra Galaviz Martin,
1585855,JOINT STOCK COMPANY 140 REPAIR PLANT,,"140 REMONTNY ZAVOD OAO;140 REMONTNYI ZAVOD OAO;140 REPAIR PLANT;140 REPAIR PLANT JOINT STOCK COMPANY;140 REPAIR PLANT OPEN JOINT STOCK COMPANY;140 Repair Plant;140TH REPAIR PLANT JSC;ADKRYTAYE AKTSYYANERNAYE TAVARYSTVA 140 RAMONTNY ZAVOD;ATT 140 RAMONTNY ZAVOD;De open vennootschap op aandelen 140 Repair Plant;JOINT STOCK COMPANY ""140 REPAIR PLANT"";JOINT STOCK COMPANY 140 REPAIR PLANT;JSC ""140 REPAIR PLANT"";JSC 140 REPAIR PLANT;Joint Stock Company 140 Repair Plant;OAO 140 REPAIR PLANT;OJSC 140 REPAIR PLANT;OJSC 140 Repair Plant;OJSC 140 Repair Plant (Fábrica de Reparações 140 OJSC);OJSC 140 Repair Plant (Remontni zavod);OPEN JOINT STOCK COMPANY 140 REPAIR PLANT;OTKRYTOYE AKTSIONERNOYE OBSHCHESTVO 140 REMONTNYY ZAVOD;Remontni zavod",
1585970,OJSC KB RADAR-MANAGING COMPANY HOLDING RADAR SYSTEM,,ADKRYTAYE AKTSYYANERNAYE TAVARYSTVA KB RADAR - KIRUYUCHAYA KAMPANIYA KHOLDYNGA SISTEMY RADYELAKATSYI;ATT KB RADAR - KIRUYUCHAYA KAMPANIYA KHOLDYNGA SISTEMY RADYELAKATSYI;JSC KB RADAR;KB RADAR;KB RADAR - RADAR AND ELECTRONIC WARFARE SYSTEMS;KB RADAR - RADAR AND EW SYSTEMS;KB RADAR OJSC;KB RADAR-UPRAVLYAYUSHCHAYA KOMPANIYA KHOLDINGA SISTEMY RADIOLOKATSII OAO;KB Radar;NAUCHNO-PROIZVODSTVENNOYE OBSCHESTVO S OGRANICHENNOY OTVETSTVENNOSTYU OKB TSP;NAVUKOVA-VYTVORCHAYE TAVARYSTVA S ABMEZHAVANAY ADKAZNASTSYU AKB TSP;NPOOO OKB TSP;NVTAA AKB TSP;OAO RADAR DESIGN BUREAU;OBSCHESTVO S OGRANICHENNOY OTVETSTVENNOSTYU TEKHNOSOYUZPROEKT;OJSC KB RADAR;OJSC KB RADAR - MANAGEMENT COMPANY OF THE HOLDING COMPANY RADAR SYSTEMS;OJSC KB Radar-Managing Company Holding Radar System;OKB TSP SCIENTIFIC PRODUCTION LIMITED LIABILITY COMPANY;OKB TSP SPLLC;OPEN JOINT STOCK COMPANY KB RADAR-MANAGEMENT COMPANY HOLDING RADAR SYSTEMS;OPEN JOINT STOCK COMPANY RADAR DESIGN BUREAU;OTKRYTOYE AKTSIONERNOYE OBSHCHESTVO KB RADAR;OTKRYTOYE AKTSIONERNOYE OBSHCHESTVO KB RADAR - UPRAVLYAYUSHCHAYA KOMPANIYA KHOLDINGA SISTEMY RADIOLOKATSII;RADAR;RADAR DESIGN BUREAU,
1586063,MINSK WHEEL TRACTOR PLANT,,ADKRYTAYE AKTSYYANERNAYE TAVARYSTVA MINSKI ZAVOD KOLAVYKH TSYAGACHOY;ATT MINSKI ZAVOD KOLAVYKH TSYAGACHOY;De open vennootschap op aandelen MZKT/MWPT (ook bekend als VOLAT) Minsk Wheel Tractor Plant;MINSK WHEEL TRACTOR PLANT JSC;MINSK WHEEL TRACTOR PLANT OAO;MINSK WHEEL TRACTOR PLANT OPEN JOINT STOCK COMPANY;MINSK WHEELED TRACTOR PLANT;MZKT;MZKT (MINSK WHEEL TRACTOR PLANT);Minsk Wheel Tractor Plant;Minsk Wheel Tractor Plant (MZKT);Minsk Wheeled Tractor Plant;OJSC MWPT - Minsk Wheel Tractor Plant;OJSC MZKT - MINSK WHEEL TRACTOR PLANT;OJSC MZKT / MWPT (tudi VOLAT) Minsk Wheel Tractor Plant;OJSC MZKT/MWPT (alias VOLAT) Planta de ruedas de tractor de Minsk;OJSC MZKT/MWPT (dar ¸inoma kaip VOLAT);OJSC MZKT/MWPT (más néven VOLAT) Minsk Wheel Tractor Plant;OJSC MZKT/MWPT (ou VOLAT) - Minsk Wheel Tractor Plant;OJSC MZKT/MWPT (também conhecido por VOLAT) Minsk Wheel Tractor Plant;OJSC MZKT/MWPT - MINSK WHEEL TRACTOR PLANT;OJSC MZKT/MWPT - Minsk Wheel Tractor Plant;OJSC MZKT/MWPT MZKT (teise nimega VOLAT) Minski ratastraktoritehas (Minsk Wheel Tractor Plant);OPEN JOINT STOCK COMPANY MINSK WHEEL TRACTOR PLANT;OTKRYTOE AKTSIONERNOE OBSHCHESTVO MINSKII ZAVOD KOLESNYKH TYAGACHEI;OTKRYTOE AKTSIONERNOE OBSHCHESTVO MINSKIY ZAVOD KOLESNYKH TYAGACHEY;SC MINSK WHEEL TRACTOR PLANT;UE MWTP;VOLAT;VOLAT (GIANT);VOLAT - Minsk Wheel Tractor Plant,
1586384,LOPEZ TORRES,Ana Lilia,"Ana Lilia LOPEZ TORRES;Ana Lilia Lopez Torres;LOPEZ DE SANDOVAL;LOPEZ TORRES,Ana Lilia;LOPEZ,Ana Lilia;LÓPEZ,Ana Lilia",
1586385,SANDOVAL LOPEZ,Lidy Alejandra,"Lidy Alejandra SANDOVAL LOPEZ;Lidy Alejandra Sandoval Lopez;SANDOVAL LOPEZ,Lidy Alejandra;SANDOVAL LÓPEZ,Lidy Alejandra",
1586386,SANDOVAL LOPEZ,Pablo Roberto,"Pablo Roberto SANDOVAL LOPEZ;Pablo Roberto Sandoval Lopez;SANDOVAL LOPEZ,Pablo Roberto;SANDOVAL LÓPEZ,Pablo Roberto",
1587453,COMERCIALIZADORA EMPRESARIAL TEAM BUSINESS SA,,COMERCIALIZADORA EMPRESARIAL TEAM BUSINESS S.A.,
1588216,ABU GHAZALA,Muhammad Hisham Muhammad Isma'il,"'Ali 'Abd Al-Rahman Abu Suwaywin;'Ali 'Abd Al-Rahman Isma'il;ABU LAYTH,Mansur;ABU SUWAYWIN,'Ali 'Abd Al-Rahman;ABU-GHAZALAH,Muhammad Hisham Isma'il;ABU-GHAZALAH,Muhammad Hisham Muhammad;AL-FILISTINI,Abu Layth;AL-HUSSEIN,Kazem;Abu Layth al-Filistini;ISMA'IL,'Ali 'Abd Al-Rahman;ISMAIL,Mohammed Hesham Mohammed;Mansur Abu Layth;Muhammad Hisham Isma'il Abu-Ghazalah;Muhammad Hisham Muhammad Abu-Ghazalah;Muhammad Hisham Muhammad Isma'il Abu Ghazala",
1589255,AL-DUNYA TELEVISION,,ADDOUINA TV;ADDOUNIA TV;AL DOUNIA;AL-DONYA TELEVISION CHANNEL;AL-DUNYA TV;Addounia TV;Al Dounia;Al-Donya Television Channel;Al-Dunya Television;DUNIA LIMITED LIABILITY COMPANY FOR INFORMATION;DUNIA TELEVISION;DUNYA LIMITED LIABILITY COMPANY FOR INFORMATION;Dounia TV;Dunia Limited Liability Company for Information;Dunia Television,
