,left_firstname_phone,left_UID,similarity,right_requestID,right_lastnamePhone
59,"[b'MHMT', None]",3397819,1.0000001,DD903844,"[b'MHMT', None]"
60,"[b'MHMT', None]",3397808,1.0000001,DD903844,"[b'MHMT', None]"
61,"[b'MHMT', None]",3397805,1.0000001,DD903844,"[b'MHMT', None]"
62,"[b'MHMT', None]",3397799,1.0000001,DD903844,"[b'MHMT', None]"
63,"[b'MHMT', None]",3397779,1.0000001,DD903844,"[b'MHMT', None]"
64,"[b'MHMT', None]",3397776,1.0000001,DD903844,"[b'MHMT', None]"
65,"[b'MHMT', None]",3312038,1.0000001,DD903844,"[b'MHMT', None]"
66,"[b'MHMT', None]",3292320,1.0000001,DD903844,"[b'MHMT', None]"
67,"[b'MHMT', None]",3277046,1.0000001,DD903844,"[b'MHMT', None]"
68,"[b'MHMT', None]",3255518,1.0000001,DD903844,"[b'MHMT', None]"
69,"[b'MHMT', None]",3210311,1.0000001,DD903844,"[b'MHMT', None]"
70,"[b'MHMT', None]",3196142,1.0000001,DD903844,"[b'MHMT', None]"
71,"[b'MHMT', None]",3185084,1.0000001,DD903844,"[b'MHMT', None]"
72,"[b'MHMT', None]",2980720,1.0000001,DD903844,"[b'MHMT', None]"
73,"[b'MHMT', None]",2816735,1.0000001,DD903844,"[b'MHMT', None]"
74,"[b'MHMT', None]",2695799,1.0000001,DD903844,"[b'MHMT', None]"
75,"[b'MHMT', None]",2469718,1.0000001,DD903844,"[b'MHMT', None]"
76,"[b'MHMT', None]",2457960,1.0000001,DD903844,"[b'MHMT', None]"
77,"[b'MHMT', None]",2436804,1.0000001,DD903844,"[b'MHMT', None]"
78,"[b'MHMT', None]",2425963,1.0000001,DD903844,"[b'MHMT', None]"
79,"[b'MHMT', None]",2406859,1.0000001,DD903844,"[b'MHMT', None]"
80,"[b'MHMT', None]",2404241,1.0000001,DD903844,"[b'MHMT', None]"
81,"[b'MHMT', None]",2338054,1.0000001,DD903844,"[b'MHMT', None]"
82,"[b'MHMT', None]",2220962,1.0000001,DD903844,"[b'MHMT', None]"
83,"[b'MHMT', None]",2212935,1.0000001,DD903844,"[b'MHMT', None]"
84,"[b'MHMT', None]",2182530,1.0000001,DD903844,"[b'MHMT', None]"
85,"[b'MHMT', None]",2024669,1.0000001,DD903844,"[b'MHMT', None]"
86,"[b'MHMT', None]",1773380,1.0000001,DD903844,"[b'MHMT', None]"
87,"[b'MHMT', None]",1588216,1.0000001,DD903844,"[b'MHMT', None]"
88,"[b'MHMT', None]",1481088,1.0000001,DD903844,"[b'MHMT', None]"
89,"[b'MHMT', None]",1452147,1.0000001,DD903844,"[b'MHMT', None]"
90,"[b'MHMT', None]",1321431,1.0000001,DD903844,"[b'MHMT', None]"
91,"[b'MHMT', None]",1311163,1.0000001,DD903844,"[b'MHMT', None]"
92,"[b'MHMT', None]",1245617,1.0000001,DD903844,"[b'MHMT', None]"
93,"[b'MHMT', None]",1105877,1.0000001,DD903844,"[b'MHMT', None]"
94,"[b'MHMT', None]",1057384,1.0000001,DD903844,"[b'MHMT', None]"
95,"[b'MHMT', None]",1053045,1.0000001,DD903844,"[b'MHMT', None]"
96,"[b'MHMT', None]",757171,1.0000001,DD903844,"[b'MHMT', None]"
97,"[b'MHMT', None]",705066,1.0000001,DD903844,"[b'MHMT', None]"
98,"[b'MHMT', None]",705058,1.0000001,DD903844,"[b'MHMT', None]"
99,"[b'MHMT', None]",661974,1.0000001,DD903844,"[b'MHMT', None]"
100,"[b'MHMT', None]",640680,1.0000001,DD903844,"[b'MHMT', None]"
