,left_WHOLE_NAME,left_UID,similarity_x,right_requestID,right_wholeName,left_lastname_phone,similarity_y,right_lastnamePhone
93,SERVICIOS EMPRESARIALES SODA SA DE,3531712,0.26391143,GG1234577,SERVICIOS CHULAVISTA CV SA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
94,MULTISERVICIOS JEVIZ SA DE,625142,0.26268876,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
95,ESTACION DE SERVICIO LA FLORESTA DE FUENTE DE ORO,1218412,0.25752097,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
96,GASODIESEL Y SERVICIOS ANCONA SA DE,1802887,0.25119612,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
97,VISTA,939124,0.33590844,GG1234578,SERVIOSCI CHULAVISTA SA DE,,,
98,MULAVI,4914727,0.31217533,GG1234578,SERVIOSCI CHULAVISTA SA DE,,,
99,GAVIOTAS,517116,0.2760988,GG1234578,SERVIOSCI CHULAVISTA SA DE,,,
100,INMUEBLES SIERRA VISTA SA DE,919153,0.26486447,GG1234578,SERVIOSCI CHULAVISTA SA DE,,,
101,ESTACIONES DE SERVICIOS CANARIAS SA DE,1799569,0.26421893,GG1234578,SERVIOSCI CHULAVISTA SA DE,,,
102,ALAVI,2088766,0.26235288,GG1234578,SERVIOSCI CHULAVISTA SA DE,,,
103,MINGZHENG INTERNATIONAL TRADING,3460446,0.50232446,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
104,MINGZHENG INTERNATIONAL TRADING,3544328,0.50232446,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
105,TNK TRADING INTERNATIONAL,2417299,0.47365355,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
106,RIXO INTERNATIONAL TRADING,2511431,0.43555507,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
107,PETRA NAVIGATION INTERNATIONAL TRADING CO,11437,0.41460675,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
108,MULTITEX INTERNATIONAL TRADING,5147888,0.4131494,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
109,SHEN ZHONG INTERNATIONAL SHPG,3802516,0.40268192,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
110,CK INTERNATIONAL,3747403,0.37534013,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
111,CK INTERNATIONAL,3747404,0.37534013,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
112,JIAXIANG INDUSTRY HONG KONG,5514590,0.3729141,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
113,HONGXIANG MARINE HONG KONG,3802397,0.37286988,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
114,GHADIR INTERNATIONAL TRADING AND DEVELOPMENT,4568526,0.36957952,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
115,KONG,6246107,0.36762473,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
116,AGR INTERNATIONAL,6948184,0.36694872,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
117,BMIIC INTERNATIONAL GENERAL TRADING,1031033,0.36523974,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
118,HONG KONG ELECTRONICS,1096087,0.3635592,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
119,TRADE POINT INTERNATIONAL,2927187,0.3626346,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
120,SB INTERNATIONAL,2378590,0.36231983,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
121,HONG,3168765,0.36191422,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
122,SES INTERNATIONAL,226922,0.3614685,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
123,MEED INTERNATIONAL,51649,0.359479,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
124,NIA INTERNATIONAL,2436802,0.35908532,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
125,IAC INTERNATIONAL,232101,0.3577336,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
126,A T E INTERNATIONAL,7302,0.3533415,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
127,INTERNATIONAL TANKER,4566433,0.3533281,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
128,CHINA UNICOM HONG KONG,263449,0.34724462,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
129,U I INTERNATIONAL,34626,0.34628484,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
130,INTERNATIONAL PACIFIC TRADING,232102,0.34466222,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
131,STARS INTERNATIONAL,2357183,0.34293523,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
132,STARS INTERNATIONAL,2357182,0.34293523,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
133,TEHRAN INTERNATIONAL TRANSPORT,6155501,0.33830404,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
134,GREEN INDUSTRIES HONG KONG,5190906,0.33671176,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
135,HUAXIN SHIPPING HONGKONG,3802398,0.33597925,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
136,DES INTERNATIONAL CO,6138031,0.3356238,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
137,DES INTERNATIONAL CO,6138072,0.3356238,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
138,DES INTERNATIONAL CO,6138077,0.3356238,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
139,DES INTERNATIONAL CO,6138056,0.3356238,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
140,MCS INTERNATIONAL,2041734,0.33250955,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
141,SPI INTERNATIONAL,5644929,0.32970977,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
142,SPI INTERNATIONAL,5644868,0.32970977,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
143,SPI INTERNATIONAL,5644930,0.32970977,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
144,SHANGHAI NORTH TRANSWAY INTERNATIONAL TRADING,3425493,0.32781085,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
145,YONA STAR INTERNATIONAL,3084831,0.32771167,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
146,YONA STAR INTERNATIONAL,3084924,0.32771167,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
147,MOBIN INTERNATIONAL,6110168,0.32702476,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
148,GPB INTERNATIONAL,2358928,0.32202464,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
149,SONGI TRADING,3443328,0.3219871,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
150,SINO ENERGY SHIPPING HONGKONG,6007907,0.32144487,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
151,SINO ENERGY SHIPPING HONGKONG,6008121,0.32144487,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
152,I P C INTERNATIONAL,51636,0.3147996,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
153,NPC INTERNATIONAL,1273771,0.3147996,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
154,REACH SHIPPING LINES HONG KONG CO,6095241,0.3142448,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
155,THE BEST LEADER GENERAL TRADING,4914651,0.31336504,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
156,NIMR INTERNATIONAL,6603407,0.31196046,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
157,NIMR INTERNATIONAL,6603410,0.31196046,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
158,NIMR INTERNATIONAL,6603412,0.31196046,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
159,NIMR INTERNATIONAL,6603418,0.31196046,FF1234579,LEADER HONG KONG INTERNATIONAL TRADING,,,
